Id,Label,Energy,Community,pi,mr,qf,qb,t,s,evec
5883,5883,None,4,7.47574440545e-29,3.01644203663e-25,1.0,1.31641392686e-18,None,None,0.0
5884,5884,None,2,1.32902375166e-24,6.50714024884e-20,1.0,1.5973840844e-17,None,None,0.0
5885,5885,None,4,1.76111533262e-21,6.31802086663e-20,1.0,1.17042930241e-20,None,None,0.0
5886,5886,None,4,7.22686114948e-31,2.59720447354e-29,1.0,1.17248787405e-20,None,None,0.0
5887,5887,None,4,1.01806447643e-24,3.65874140633e-23,1.0,1.17248787405e-20,None,None,0.0
5888,5888,None,1,5.86290295962e-29,2.82528965325e-08,0.804601418013,0.195398581987,None,None,0.0
5889,5889,None,1,1.4558571879e-24,0.000701566830958,0.804601418013,0.195398581987,None,None,0.0
5890,5890,None,4,1.73366438167e-21,6.24816273669e-20,1.0,1.17581564402e-20,None,None,0.0
5891,5891,None,3,1.56146937696e-21,5.60851285217e-20,1.0,1.17183422042e-20,None,None,0.0
5892,5892,None,3,1.09956665452e-20,3.94944262416e-19,1.0,1.17183422042e-20,None,None,0.0
5893,5893,None,4,5.37009784207e-20,1.93539450795e-18,1.0,1.17581564402e-20,None,None,0.0
5894,5894,None,4,4.33352324441e-23,1.03430385534e-21,1.0,7.7867985872e-21,None,None,0.0
5895,5895,None,4,3.37999755662e-26,1.21856882566e-24,1.0,1.1762119989e-20,None,None,0.0
5896,5896,None,4,1.42482086665e-21,3.31982803922e-20,1.0,7.60163915679e-21,None,None,0.0
5897,5897,None,4,9.40202844224e-20,2.19066960477e-18,1.0,7.60163915679e-21,None,None,0.0
5898,5898,None,4,9.0007470564e-17,2.10551282147e-15,1.0,7.6318752285e-21,None,None,0.0
5899,5899,None,4,3.32466852262e-26,1.19866098587e-24,1.0,1.1762508406e-20,None,None,0.0
5900,5900,None,4,2.09061494138e-27,5.01576280823e-26,1.0,7.82735208145e-21,None,None,0.0
5901,5901,None,0,1.20060205064e-32,7.35296672219e-20,1.99809185213e-09,0.999999998002,None,None,0.0
5902,5902,None,1,7.89096357652e-30,3.80259709221e-09,0.804601418022,0.195398581978,None,None,0.0
5903,5903,None,3,3.35808863973e-29,1.79255218265e-21,1.0,1.74153248556e-14,None,None,0.0
5904,5904,None,3,2.36077125737e-26,1.26018283737e-18,1.0,1.74153248556e-14,None,None,0.0
5905,5905,None,4,3.67088436787e-20,8.53548914881e-19,1.0,7.58594410394e-21,None,None,0.0
5906,5906,None,4,9.97169816146e-16,2.31860535291e-14,1.0,7.58594410394e-21,None,None,0.0
5907,5907,None,5,7.01479905857e-25,2.51881342732e-23,1.0,1.17147410484e-20,None,None,0.0
5908,5908,None,4,9.4265168782e-28,2.24987434003e-26,1.0,7.7867985872e-21,None,None,0.0
5909,5909,None,4,1.34370870049e-23,3.12437269934e-22,1.0,7.58594401743e-21,None,None,0.0
5910,5910,None,4,1.97297983733e-15,4.61967497774e-14,1.0,7.63907374591e-21,None,None,0.0
5911,5911,None,4,2.6499891995e-20,6.16171786745e-19,1.0,7.58594401743e-21,None,None,0.0
5912,5912,None,4,1.50897114751e-16,3.53321210912e-15,1.0,7.63907374591e-21,None,None,0.0
5913,5913,None,3,1.51976651807e-20,5.42310252014e-19,1.0,1.16418733542e-20,None,None,0.0
5914,5914,None,4,2.44028557359e-16,5.67411792595e-15,1.0,7.58594401743e-21,None,None,0.0
5915,5915,None,4,2.91953541544e-19,6.78846296332e-18,1.0,7.58594401743e-21,None,None,0.0
5916,5916,None,4,9.3435573793e-19,3.36743463966e-17,1.0,1.17581459425e-20,None,None,0.0
5917,5917,None,4,1.2288129511e-27,4.42869783818e-26,1.0,1.17582366997e-20,None,None,0.0
5918,5918,None,3,8.9317204189e-27,3.20811086663e-25,1.0,1.17183422042e-20,None,None,0.0
5919,5919,None,4,2.81803981431e-26,1.01563438295e-24,1.0,1.17582366997e-20,None,None,0.0
5920,5920,None,3,3.98090585334e-30,1.42986868466e-28,1.0,1.17183422042e-20,None,None,0.0
5921,5921,None,3,5.63503664216e-23,2.02400225687e-21,1.0,1.17183422042e-20,None,None,0.0
5922,5922,None,4,1.50713804048e-27,5.41686460024e-26,1.0,1.17259186465e-20,None,None,0.0
5923,5923,None,4,4.53630901434e-26,1.63645178691e-24,1.0,1.17693509116e-20,None,None,0.0
5924,5924,None,4,1.12709889706e-25,4.0675999287e-24,1.0,1.17741112376e-20,None,None,0.0
5925,5925,None,1,4.91727844944e-28,2.36960018234e-07,0.804601418073,0.195398581927,None,None,0.0
5926,5926,None,3,3.01962636995e-24,3.26141988647e-19,1.0,3.52375279972e-17,None,None,0.0
5927,5927,None,1,7.75612075636e-32,3.73761733192e-11,0.804601418073,0.195398581927,None,None,0.0
5928,5928,None,3,6.80118978745e-25,5.9785036597e-20,1.0,2.86787048048e-17,None,None,0.0
5929,5929,None,4,8.90099803432e-20,2.08217888668e-18,1.0,7.6318752285e-21,None,None,0.0
5930,5930,None,4,9.1231096496e-17,2.12568161575e-15,1.0,7.60163915679e-21,None,None,0.0
5931,5931,None,4,3.37170566897e-20,7.83984292021e-19,1.0,7.58594401743e-21,None,None,0.0
5932,5932,None,4,4.13469510067e-16,9.61393528815e-15,1.0,7.58594401743e-21,None,None,0.0
5933,5933,None,3,3.25033370745e-22,3.51060087985e-17,1.0,3.52375279972e-17,None,None,0.0
5934,5934,None,4,4.15714456024e-25,1.49824237439e-23,1.0,1.17581467816e-20,None,None,0.0
5935,5935,None,4,6.9856344687e-23,2.51763522326e-21,1.0,1.17581467816e-20,None,None,0.0
5936,5936,None,4,5.5571667939e-24,2.00279681095e-22,1.0,1.17580522978e-20,None,None,0.0
5937,5937,None,6,5.5404151903e-32,1.75933687998e-19,0.999999998964,1.03599730128e-09,None,None,0.0
