Source,Target,Weight,Type,Energy,t,j,f,fe
426,6159,0.0172103817743,directed,None,None,2.52347660197e-46,1.52911216933e-42,7.7786555273e-55
149,837,0.0130342135803,directed,None,None,-2.11240246622e-46,1.80768653043e-42,5.00618676454e-47
149,28,0.0167616726698,directed,None,None,-1.38087219412e-46,2.3255393864e-42,9.64098040353e-46
65,498,0.00421653783525,directed,None,None,6.52186200585e-42,6.274725278e-37,5.8526360865e-45
65,965,5.78401550162e-05,directed,None,None,1.99879232112e-42,8.60732415464e-39,4.854228654e-48
588,6920,6.46014937688e-05,directed,None,None,1.18575268609e-45,3.91249737588e-42,1.22841108097e-54
588,6096,0.000127311990865,directed,None,None,8.52748921711e-46,7.71046923405e-42,8.83426716464e-55
1377,148,0.145805829885,directed,None,None,6.17565165133e-42,1.16558404918e-38,4.84843044207e-45
968,2790,0.000777634064938,directed,None,None,7.70421169049e-42,1.02013368844e-42,4.01484447865e-43
87,4460,0.0137041399712,directed,None,None,9.27035075872e-45,3.81097484704e-41,2.85509999368e-53
2336,2351,0.000727671560783,directed,None,None,1.39229408706e-46,1.22864670828e-42,1.51374179738e-46
87,2336,0.0023383431543,directed,None,None,5.19454327123e-46,6.50283374863e-42,1.51374180909e-46
2351,426,0.00383284091852,directed,None,None,-3.93294560361e-47,2.07757948305e-43,1.51374179188e-46
932,149,3.80563061389e-05,directed,None,None,1.43503890312e-46,1.13877965618e-42,5.36731298083e-47
2532,64,0.0406012365985,directed,None,None,-1.19567616031e-45,2.30139024788e-42,6.66862554381e-49
588,2532,0.000132240751007,directed,None,None,5.04335065121e-45,8.00897256573e-42,6.66869017862e-49
4,2553,0.016155696404,directed,None,None,2.79088072824e-34,1.41789596255e-41,3.24910721895e-54
477,29,0.154850609158,directed,None,None,-1.32967415866e-40,1.57358628942e-43,1.3933805037e-43
6800,280,0.00337785338906,directed,None,None,3.22316778831e-42,6.40477094784e-45,2.12752920338e-57
674,4373,1.74492566307e-06,directed,None,None,4.01152373849e-39,1.67634682892e-46,1.22871079861e-58
29,30,0.0995256332066,directed,None,None,-8.03743460832e-40,1.62970383372e-43,2.95400086631e-44
29,4520,0.000899344085881,directed,None,None,9.03636620217e-42,1.47265026845e-45,2.09929986801e-58
65,3180,0.0023639425057,directed,None,None,4.90724869327e-42,3.51783647962e-37,2.26871218067e-44
3180,88,0.00425934128731,directed,None,None,1.55583130523e-41,1.33524585041e-37,2.26871563929e-44
3742,475,0.0370509590834,directed,None,None,9.29304691458e-34,5.21737419226e-49,1.03477495692e-53
1190,3781,0.0057856987578,directed,None,None,1.17726083016e-51,8.07013308548e-48,2.54778679716e-53
3781,7,0.107445697327,directed,None,None,3.07009363547e-44,4.27239883976e-40,1.01181170351e-52
932,2030,0.0217741096895,directed,None,None,9.68086282875e-44,6.51527891148e-40,1.10986171722e-47
932,512,8.63663537903e-06,directed,None,None,-2.90646979467e-48,2.58427039181e-43,4.57359286375e-49
512,778,0.028076469995,directed,None,None,-1.64623095645e-47,2.9275031039e-42,3.1086819191e-47
778,149,0.0429970528521,directed,None,None,5.90940175583e-46,4.13160946216e-42,1.4354834869e-46
888,86,0.000107105326553,directed,None,None,-6.34074700821e-32,3.50489622661e-48,1.99455204445e-48
27,91,0.00478642800042,directed,None,None,7.44836148106e-43,3.00181578466e-39,3.75992657094e-43
1008,1028,0.128392131194,directed,None,None,3.13020421403e-47,1.08336446777e-42,1.7808278796e-52
1303,2138,0.0282230616007,directed,None,None,2.00018485292e-45,7.66407761537e-41,1.88932351786e-46
2138,568,0.0427399252846,directed,None,None,-2.77471331081e-44,1.14070028273e-40,7.64707325394e-47
152,151,1.82557565688e-05,directed,None,None,-9.34764867246e-40,1.37249678164e-35,3.3362939671e-44
